no,headline_news,sentences,sentences_category,labels
56,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",KUR Digital BRI,neutral,0
57,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",KUR Digital BRI bisa diakses melalui kur.bri.co.id dengan plafon maksimal Rp 50 juta.,neutral,0
58,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","""Terobosan ini diciptakan BRI agar masyarakat tetap dapat mengajukan KUR dengan menjaga jarak tanpa perlu datang ke Kantor BRI,"" ujar Aestika.",positive,1
59,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","Sama seperti pinjaman Ceria, ada sejumlah syarat untuk pengajuan KUR mikro BRI pada KUR Digital.",positive,1
60,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",Syarat idu adalah,neutral,0
61,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",1. Individu (perorangan),neutral,0
62,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",2. Memiliki usaha minimal 6 bulan,neutral,0
63,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","3. Menjalakan usaha di salah satu platform e-commerce atau ride hailing (Grad, Gojek, Tokopedia, Shopee, Aruna, Siapbos, Warung Pangan)",neutral,0
64,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","4. Tidak sedang menerima kredit dari perbankan kecuali kredit konsumtif seperti KPR, KKB dan Kartu Kredit",neutral,0
65,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","5. Persyaratan administrasi identitas berupa KTP, Kartu Keluarga (KK), dan surat izin usaha (dapat berupa surat keterangan yang diterbitkan oleh e-commerce atau ride hailing)",neutral,0
66,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","Baca Juga: Ini cara dan syarat pengajuan pinjaman KUR BRI Dilansir dari situs resmi KUR BRI, kur.bri.co.id, ada dua jenis pengajuan KUR, yakni KUR untuk kebutuhan modal usaha, dan KUR secara massal oleh mitra e-commerce kerja sama.",neutral,0
67,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",Untuk langkah pengajuan dapat disimak di link ini. Ini beberapa hal yang perlui diketahui dari meminjam KUR di BRI:,neutral,0
68,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",1. Plafond KUR Mikro dengan maksimal pinjaman hingga Rp 50 juta.,neutral,0
69,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","2. Suku bunga KUR mikro termasuk ringan, yakni sebesar 6 persen pa.",neutral,0
70,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","3. Pilihan jangka waktu yang fleksibel yakni selama 12 bulan, 18 bulan, dan 24 bulan",neutral,0
71,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",4. KUR bebas biaya administrasi dan provinsi,neutral,0
72,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","Artikel ini telah tayang di Kompas.com dengan judul ""Pelaku UMKM Bisa Ajukan Pinjaman Digital BRI hingga Rp 50 Juta, Ini Caranya""",neutral,0
73,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",Penulis: Retia Kartika Dewi,neutral,0
74,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",Editor: Inggried Dwi Wedhaswary,neutral,0
75,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","Selanjutnya: &#8203; ini cara dan syarat dapat KUR BRI tanpa agunan secara online 2021, limit Rp 50 juta",neutral,0
76,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya",[ kompas.com ],neutral,0
77,"Pelaku UMKM bisa ajukan pinjaman digital BRI hingga Rp 50 juta, bagaimana caranya","Kontan Thu, 25 Feb 2021 (14:25:14 WIB)",neutral,0
78,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,KONTAN.CO.ID - JAKARTA. ,neutral,0
79,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,Pertamina meneruskan penjajakan pola kemitraan Pertashop melalui fasilitas Kredit Usaha Rakyat (KUR) bersama PT Bank Rakyat Indonesia Tbk (BRI).,positive,1
80,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"Sebelumnya, pola kemitraan Pertashop melalui KUR diusang dalam sosialisasi bersama Kementrian Koordinator Bidang Perekonomian (Kemenko Perekonomian) dimana fasilitas KUR diharapkan bisa mempermudah calon mitra Pertashop mengenai pola permodalannya.",positive,1
81,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"Corporate Secretary PT Pertamina Patra Niaga Putut Andriatno, mengatakan sosialisasi Pertashop melalui fasilitas KUR ditujukan bagi 5000 Agen Brilink yang terbesar di seluruh Indonesia",positive,1
82,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,Kegiatan ini lanjutnya merupakan wujud sinergi BUMN untuk memcepat pemerataan energi berkualitas di seluruh Indonesia.,positive,1
83,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,Baca Juga: Pertamina tambah dua unit pertashop di kabupaten Maros,neutral,0
84,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"""BRI adalah salah satu Bank dengan akses dan jaringan terluas di Indonesia, hingga ke pedesaan. Jika sinergi antara Agen Brilink dan Pertamina ini dapat berjalan dengan baik, harapannya adalah kami bisa segera memperluas layanan energi dan memberi akses energi yang mudah bagi masyarakat,"" kata Putut dalam keterangan resminya, kamis (25/2).",positive,1
85,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"Pertashop merupakan lembaga penyalur resmi berskala kecil Pertamina dan salah satu implementasi Program One Village One Outlet (OVOO). Pertashop diharapkan dapat meningkatkan ketahanan energi nasional, di mana energi tidak berhenti hanya di SPBU, tapi hingga ke desa-desa.",positive,1
86,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"Hingga saat ini, sudah beroperasi 1.371 Outlet Pertashop yang tersebar diseluruh Indonesia dan tahun 2021 ditargetkan bisa mencapai 12.000 outlet.",neutral,0
87,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"Untuk mempercepat pembangunan Pertashop, Pertamina terus mensosialisasikan pola kemitraan Pertashop dengan berbagai pihak.  Sosialisasi kepada Agen Brilink, Putut beraharp pola kemitraan Pertashop yang difasilitasi KUR ini bisa mendorong pembanugnan Pertashop sekaligus memberdayakan masyarakat daerah dalam pelaksanaannya.",negative,-1
88,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"""Dengan jaringan Agen Brilink dan fasilitias KUR yang ditawarkan, harapannya jumlah Pertashop yang beroperasi dapat terus meningkat. Selain pemerataan energi, kehadiran Pertashop juga diharapkan mendorong produktivitas dan pertumbuhan ekonomi masyarakat diwilayah tersebut, karenanya sinergi seperti ini sangatlah dibutuhkan,"" tambah Putut.",positive,1
89,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"Untuk pola kerja sama, ada tiga tipe Pertashop yang ditawarkan, Gold (210m2 kapasitas tanki 3 Kilo Liter), Platinum (300m2 kapasitas tanki 10 KL), dan Diamond (500m2 kapasitas tanki 10 KL), perbedaan besaran lahan akan berpengaruh terhadap layanan bisnis nonfuel retail (NFR) yang dapat beroperasi, misalkan agen pulsa, toko sembako, mini market, kafe/restoran, bengkel, dan bisnis turunan lainnya.",neutral,0
90,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"Syaratnya terbagi dua kriteria yakni, Kriteria Administrasi Persyaratan dan Kriteria Lokasi.",neutral,0
91,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"Jika kriteria ini sudah terpenuhi, seluruh operasional Pertashop juga akn dipastikan sudah sesuai dengan standar keselamatan serta standar kualitas produknya akan terjamin serta disuplai langsung dari terminal BBM terdekat.",positive,1
92,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,Baca Juga: Layanan Pertashop Pertamina di kawasan Bali diminati masyarakat,neutral,0
93,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"Sementara itu, Direktur Hubungan Kelembagaan dan BUMN BRI Agus Noorsanto mengatakan bahwa BRI siap mendukung program pemerataan energi di Indonesia sekaligus mendukung pemulihan ekonomi nasional.",positive,1
94,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"Menggunakan jaringan yang ada, BRI melihat potensi dan memberikan kesempatan kepada Agen Brilink dan nasabah BRI lainnya untuk dapat mengembangkan usahanya dalam bidang penyediaan energi berkualitas melalui Kemitraan Pertashop.",positive,1
95,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"""Sinergi dengan sub holding Commercial & Trading, BRI akan memberikan fasilitas KUR kepada calon mitra Pertashop, Agen Brlink, dan nasabah lainnya, dengan dukungan dari BRI ini, harapannya layanan penyedian energi bagi masyarakat bisa menjangkau hingga peloso negeri,"" jelasnya. ",positive,1
96,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,[ Dina Mirayanti Hutauruk ],neutral,0
97,Pertamina gandeng BRI sosialisasikan Program Pertashop ke 5000 agen Brilink,"KONTAN Thu, 25 Feb 2021 ( 09:00:21 WIB)",neutral,0
98,"Uang nasabah di tabungan terkuras, begini janji BRI",KONTAN.CO.ID - JAKARTA.,neutral,0
99,"Uang nasabah di tabungan terkuras, begini janji BRI","Sejumlah nasabah PT Bank Rakyat Indonesia (Persero) Tbk di Bojonegoro, Jawa Timur mengalami kejadian yang tidak mengenakkan",negative,-1
100,"Uang nasabah di tabungan terkuras, begini janji BRI","Aris, Nasabah BRI yang berasal dari Bojonegoro, Jawa timur, mengaku kehilangan dana Rp 12,5 juta di tabungan miliknya.",negative,-1
